# Matter power spectrum P(k) at redshift z=0.8
# for k=1.04656e-05 to 8.32166 h/Mpc,
# number of wavenumbers equal to 121
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046555902272e-05       2.205768918704e+01 
       1.317535820234e-05       2.755873696004e+01 
       1.658679325041e-05       3.443168464958e+01 
       2.088153552312e-05       4.301865757394e+01 
       2.628829570734e-05       5.374701124288e+01 
       3.309500349873e-05       6.715066716523e+01 
       4.166414090796e-05       8.389652459117e+01 
       5.245204574961e-05       1.048175262358e+02 
       6.603321329477e-05       1.309537556911e+02 
       8.313089023921e-05       1.636035402706e+02 
       1.046555902272e-04       2.043867398244e+02 
       1.317535820234e-04       2.553227335291e+02 
       1.658679325041e-04       3.189257673972e+02 
       2.088153552312e-04       3.983200389916e+02 
       2.628829570734e-04       4.973758399063e+02 
       3.309500349873e-04       6.208655358468e+02 
       4.166414090796e-04       7.746334275452e+02 
       5.245204574961e-04       9.657662637644e+02 
       6.603321329477e-04       1.202742661848e+03 
       8.313089023921e-04       1.495532435237e+03 
       1.046555902272e-03       1.855604367004e+03 
       1.317535820234e-03       2.295745145780e+03 
       1.658679325041e-03       2.829398580584e+03 
       2.088153552312e-03       3.469593979371e+03 
       2.628829570734e-03       4.226843735325e+03 
       3.309500349873e-03       5.106196194450e+03 
       4.166414090796e-03       6.103138328728e+03 
       5.245204574961e-03       7.185074277574e+03 
       6.603321329477e-03       8.330895091683e+03 
       8.313089023921e-03       9.460883123945e+03 
       1.046555902272e-02       1.046823238136e+04 
       1.317535820234e-02       1.120671582745e+04 
       1.658679325039e-02       1.149655858196e+04 
       2.088153536607e-02       1.116217735292e+04 
       2.628817437359e-02       1.012268597332e+04 
       3.307800584642e-02       8.537741546964e+03 
       4.109232108339e-02       6.951640618417e+03 
       4.787542321086e-02       6.043565268623e+03 
       5.279010366009e-02       5.600444434579e+03 
       5.683872694155e-02       5.326047986133e+03 
       6.045156995504e-02       5.119961341597e+03 
       6.382007186450e-02       4.940397509921e+03 
       6.704540342011e-02       4.765961530681e+03 
       7.018816066442e-02       4.585711840601e+03 
       7.328811401133e-02       4.394137180831e+03 
       7.637327385591e-02       4.189896778507e+03 
       7.946452670565e-02       3.974674311056e+03 
       8.257820944662e-02       3.752483966459e+03 
       8.572763379693e-02       3.528863381544e+03 
       8.892403683484e-02       3.310163852061e+03 
       9.217719909732e-02       3.102735147583e+03 
       9.549586065964e-02       2.912247330556e+03 
       9.888800935166e-02       2.743053503266e+03 
       1.023610851575e-01       2.597763046063e+03 
       1.059221279615e-01       2.476947927825e+03 
       1.095778859507e-01       2.379063050520e+03 
       1.133348960365e-01       2.300456237724e+03 
       1.171995439641e-01       2.235695405407e+03 
       1.211781094253e-01       2.177951167815e+03 
       1.252767999696e-01       2.119843353967e+03 
       1.295017764990e-01       2.054557271782e+03 
       1.338591724711e-01       1.977192643775e+03 
       1.383551084889e-01       1.885951849185e+03 
       1.429957036592e-01       1.782731018452e+03 
       1.477870849124e-01       1.672818347279e+03 
       1.527353953437e-01       1.563613344671e+03 
       1.578468025619e-01       1.462799582063e+03 
       1.631275079773e-01       1.376392508574e+03 
       1.685837579309e-01       1.307259936174e+03 
       1.742218575471e-01       1.254412419471e+03 
       1.800481881779e-01       1.213232845411e+03 
       1.860692292990e-01       1.176923663539e+03 
       1.922915857128e-01       1.137973292015e+03 
       1.987220209166e-01       1.090555507787e+03 
       2.053674975080e-01       1.033739689777e+03 
       2.122352255316e-01       9.716671686107e+02 
       2.193327197286e-01       9.110732097544e+02 
       2.266678667501e-01       8.578868322404e+02 
       2.342490035393e-01       8.151415899931e+02 
       2.420850083103e-01       7.819646043755e+02 
       2.501854058486e-01       7.537304166909e+02 
       2.585604892858e-01       7.246363238568e+02 
       2.672214610595e-01       6.912570341289e+02 
       2.761805965251e-01       6.541685583868e+02 
       2.854514346839e-01       6.173019137476e+02 
       2.950490018086e-01       5.850527211715e+02 
       3.049900754946e-01       5.586274323499e+02 
       3.152934989901e-01       5.358017863131e+02 
       3.259805587814e-01       5.131286647477e+02 
       3.370754426413e-01       4.886551826696e+02 
       3.486058011597e-01       4.636652601175e+02 
       3.606034438468e-01       4.406077463044e+02 
       3.731052122968e-01       4.205753100181e+02 
       3.861540892179e-01       4.021570623428e+02 
       3.998006259371e-01       3.836241217575e+02 
       4.141048063178e-01       3.649139888273e+02 
       4.291385185707e-01       3.472478448418e+02 
       4.449888893712e-01       3.310154519910e+02 
       4.617628663447e-01       3.154687502856e+02 
       4.795936496741e-01       2.999714381485e+02 
       4.986499344615e-01       2.849809644514e+02 
       5.191495529601e-01       2.707616587649e+02 
       5.413802393579e-01       2.567362010994e+02 
       5.657323782375e-01       2.429026995066e+02 
       5.927528355206e-01       2.293347647756e+02 
       6.232378515791e-01       2.157077899915e+02 
       6.584027983620e-01       2.019463376135e+02 
       7.002139965752e-01       1.877368810089e+02 
       7.520890301363e-01       1.727257588262e+02 
       8.204941309837e-01       1.562921987402e+02 
       9.187194517144e-01       1.375082291318e+02 
       1.073925360018e+00       1.154018317667e+02 
       1.321195704387e+00       9.125850116645e+01 
       1.660433356214e+00       6.972973805190e+01 
       2.090306789060e+00       5.219239019046e+01 
       2.631540127311e+00       3.808835778326e+01 
       3.312912738317e+00       2.696793447750e+01 
       4.170710033324e+00       1.847733977718e+01 
       5.250612846176e+00       1.225805260637e+01 
       6.610129939544e+00       7.900743874003e+00 
       8.321660556154e+00       4.970237208579e+00 
