# Matter power spectrum P(k) at redshift z=0
# for k=1.03955e-05 to 20.7632 h/Mpc,
# number of wavenumbers equal to 125
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039553267695e-05       4.871866961478e+01 
       1.308720025615e-05       6.088279523025e+01 
       1.647580897171e-05       7.608404943566e+01 
       2.074181459435e-05       9.508059962530e+01 
       2.611239747956e-05       1.188198890722e+02 
       3.287356074988e-05       1.484857441273e+02 
       4.138536100419e-05       1.855571992358e+02 
       5.210108264445e-05       2.318818606738e+02 
       6.559137692308e-05       2.897672433396e+02 
       8.257465120303e-05       3.620942366944e+02 
       1.039553267695e-04       4.524575435007e+02 
       1.308720025615e-04       5.653386232139e+02 
       1.647580897171e-04       7.063168094531e+02 
       2.074181459435e-04       8.823235983999e+02 
       2.611239747956e-04       1.101942697921e+03 
       3.287356074988e-04       1.375753058657e+03 
       4.138536100419e-04       1.716703053790e+03 
       5.210108264445e-04       2.140491592961e+03 
       6.559137692308e-04       2.665918233877e+03 
       8.257465120303e-04       3.315142065891e+03 
       1.039553267695e-03       4.113716581140e+03 
       1.308720025615e-03       5.090104329459e+03 
       1.647580897171e-03       6.274124392042e+03 
       2.074181459435e-03       7.694728623500e+03 
       2.611239747956e-03       9.375227117546e+03 
       3.287356074988e-03       1.132676395101e+04 
       4.138536100419e-03       1.353919107883e+04 
       5.210108264445e-03       1.596853809959e+04 
       6.559137692308e-03       1.852303595284e+04 
       8.257465120304e-03       2.104539101867e+04 
       1.039553267695e-02       2.329646701184e+04 
       1.308720025615e-02       2.495107631190e+04 
       1.647580897169e-02       2.560294415511e+04 
       2.074181443872e-02       2.485444666585e+04 
       2.611227717034e-02       2.251843957048e+04 
       3.285669831339e-02       1.895025103100e+04 
       4.081783864900e-02       1.537468984567e+04 
       4.755680719958e-02       1.332483703205e+04 
       5.243936020370e-02       1.232359247598e+04 
       5.646137775343e-02       1.170287133777e+04 
       6.005041289094e-02       1.123608761805e+04 
       6.339668144820e-02       1.082879034052e+04 
       6.660070292248e-02       1.043338262783e+04 
       6.972268125435e-02       1.002439981060e+04 
       7.280212850930e-02       9.589645994288e+03 
       7.586687256685e-02       9.126362780226e+03 
       7.893766349344e-02       8.637739626778e+03 
       8.203073122572e-02       8.133338357031e+03 
       8.515930017601e-02       7.625436269605e+03 
       8.833453360602e-02       7.128339282864e+03 
       9.156614771590e-02       6.656410069360e+03 
       9.486282502065e-02       6.222503001102e+03 
       9.823250069153e-02       5.836520404011e+03 
       1.016825656247e-01       5.504446185614e+03 
       1.052200132246e-01       5.227713576977e+03 
       1.088515470987e-01       5.002928090705e+03 
       1.125836609556e-01       4.822015749327e+03 
       1.164226983211e-01       4.672736236502e+03 
       1.203748973573e-01       4.539761653143e+03 
       1.244464245522e-01       4.406469944992e+03 
       1.286434000476e-01       4.257509246854e+03 
       1.329719167179e-01       4.081774753155e+03 
       1.374380546630e-01       3.875079533654e+03 
       1.420478924942e-01       3.641497168597e+03 
       1.468075165912e-01       3.392709207973e+03 
       1.517230293893e-01       3.145240370721e+03 
       1.568005576722e-01       2.916394385329e+03 
       1.620462617984e-01       2.719890309086e+03 
       1.674663467557e-01       2.562448119402e+03 
       1.730670759214e-01       2.442098480766e+03 
       1.788547883898e-01       2.348625310728e+03 
       1.848359207216e-01       2.266838585901e+03 
       1.910170339654e-01       2.179647010649e+03 
       1.974048468028e-01       2.073777434983e+03 
       2.040062756840e-01       1.946843380529e+03 
       2.108284828519e-01       1.807903039641e+03 
       2.178789332101e-01       1.671985640987e+03 
       2.251654610873e-01       1.552615726536e+03 
       2.326963480982e-01       1.457031852778e+03 
       2.404804135148e-01       1.383548001341e+03 
       2.485271188658e-01       1.321783949473e+03 
       2.568466889000e-01       1.258504053397e+03 
       2.654502516058e-01       1.185680236460e+03 
       2.743500007336e-01       1.104281269787e+03 
       2.835593852514e-01       1.023177023718e+03 
       2.930933314793e-01       9.525475166568e+02 
       3.029685053788e-01       8.954319627650e+02 
       3.132036247850e-01       8.469427558067e+02 
       3.238198344707e-01       7.990675189538e+02 
       3.348411611344e-01       7.470759847325e+02 
       3.462950711777e-01       6.937589584152e+02 
       3.582131621531e-01       6.448539373732e+02 
       3.706320300841e-01       6.031393088091e+02 
       3.835943710705e-01       5.654125123522e+02 
       3.971503992274e-01       5.275333417971e+02 
       4.113596981060e-01       4.891964114654e+02 
       4.262936759182e-01       4.533377614424e+02 
       4.420388772631e-01       4.210460044748e+02 
       4.587015348084e-01       3.905611651560e+02 
       4.764139576188e-01       3.602846494988e+02 
       4.953437112517e-01       3.313517778323e+02 
       5.157071679561e-01       3.045341195034e+02 
       5.377901311561e-01       2.784529787107e+02 
       5.619803622431e-01       2.531484366981e+02 
       5.888210463838e-01       2.289695532539e+02 
       6.191030539800e-01       2.052391598342e+02 
       6.540335401330e-01       1.820158812274e+02 
       6.955654913532e-01       1.588797868366e+02 
       7.470932303018e-01       1.355508159776e+02 
       8.150387944904e-01       1.115143475684e+02 
       9.126012282327e-01       8.630732851385e+01 
       1.066755817749e+00       6.031154752470e+01 
       1.312358139775e+00       3.718513756593e+01 
       1.649323511002e+00       2.160730489628e+01 
       2.076320603761e+00       1.239247850959e+01 
       2.613932564171e+00       7.048820831536e+00 
       3.290746129640e+00       3.979642452672e+00 
       4.142803926367e+00       2.231677546945e+00 
       5.215481138984e+00       1.243785109625e+00 
       6.565901740601e+00       6.893035471060e-01 
       8.265980552586e+00       3.800384609464e-01 
       1.040625297105e+01       2.085374787447e-01 
       1.310069630681e+01       1.139265338128e-01 
       1.649279949284e+01       6.198370112373e-02 
       2.076320439316e+01       3.359322217584e-02 
